Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Region,State,City,Category,Sub_Category,Product_Name,Quantity,Discount,Sales,Profit
ORD-01001,2023-05-07,2023-05-13,Standard Class,CUST-158,Customer 164,Corporate,East,New York,City2,Office Supplies,Paper,Product Paper 1,1,0,12.81,2.83
ORD-01002,2023-03-07,2023-03-12,Standard Class,CUST-304,Customer 234,Consumer,South,Texas,City3,Technology,Phones,Product Phones 2,5,0.05,3130.65,404.27
ORD-01003,2024-08-22,2024-08-23,Standard Class,CUST-233,Customer 301,Home Office,North,Ohio,City2,Furniture,Chairs,Product Chairs 3,1,0,207.34,17.14
ORD-01004,2023-07-31,2023-08-05,Standard Class,CUST-135,Customer 111,Corporate,North,Illinois,City3,Office Supplies,Storage,Product Storage 4,4,0,129.5,31.59
ORD-01005,2023-02-20,2023-02-26,Standard Class,CUST-117,Customer 216,Consumer,North,Illinois,City4,Furniture,Chairs,Product Chairs 5,2,0,422.2,30.63
ORD-01006,2024-04-22,2024-04-23,Standard Class,CUST-328,Customer 332,Corporate,South,Florida,City2,Technology,Phones,Product Phones 6,5,0,2893.14,358.25
ORD-01007,2023-08-06,2023-08-13,Standard Class,CUST-246,Customer 283,Consumer,East,New York,City4,Technology,Phones,Product Phones 7,3,0.1,1853.83,267.03
ORD-01008,2023-04-19,2023-04-20,Standard Class,CUST-153,Customer 247,Corporate,West,California,City4,Furniture,Bookcases,Product Bookcases 8,1,0,265.99,23.63
ORD-01009,2023-09-10,2023-09-17,Standard Class,CUST-106,Customer 154,Consumer,West,Washington,City1,Furniture,Bookcases,Product Bookcases 9,3,0.15,746.31,48.34
ORD-01010,2023-08-25,2023-08-31,Standard Class,CUST-306,Customer 102,Consumer,North,Ohio,City4,Technology,Phones,Product Phones 10,5,0,2998.22,417.59
ORD-01011,2023-05-21,2023-05-24,Standard Class,CUST-145,Customer 107,Consumer,West,California,City4,Furniture,Tables,Product Tables 11,2,0.05,889.49,74.73
ORD-01012,2024-06-04,2024-06-05,Standard Class,CUST-249,Customer 197,Home Office,West,Washington,City2,Office Supplies,Storage,Product Storage 12,1,0,35.63,8.01
ORD-01013,2023-01-03,2023-01-05,Standard Class,CUST-335,Customer 280,Corporate,South,Florida,City3,Technology,Accessories,Product Accessories 13,5,0.1,379.83,48.03
ORD-01014,2024-03-25,2024-04-01,Standard Class,CUST-305,Customer 286,Consumer,South,Texas,City2,Furniture,Tables,Product Tables 14,5,0,2137.87,173.92
ORD-01015,2024-08-31,2024-09-05,Standard Class,CUST-120,Customer 205,Home Office,East,Pennsylvania,City4,Office Supplies,Storage,Product Storage 15,4,0,130.64,25.62
ORD-01016,2023-06-04,2023-06-09,Standard Class,CUST-225,Customer 277,Consumer,West,Washington,City4,Furniture,Chairs,Product Chairs 16,5,0.15,838.56,69.43
ORD-01017,2024-11-13,2024-11-14,Standard Class,CUST-113,Customer 153,Consumer,South,Florida,City1,Furniture,Bookcases,Product Bookcases 17,3,0.1,774.54,54.49
ORD-01018,2024-12-30,2025-01-02,Standard Class,CUST-314,Customer 177,Consumer,South,Texas,City4,Furniture,Chairs,Product Chairs 18,2,0,474.77,40.45
ORD-01019,2024-11-02,2024-11-09,Standard Class,CUST-322,Customer 104,Consumer,East,Pennsylvania,City3,Technology,Machines,Product Machines 19,1,0,601.66,83.48
ORD-01020,2024-07-03,2024-07-04,Standard Class,CUST-185,Customer 264,Consumer,North,Ohio,City3,Technology,Machines,Product Machines 20,4,0.15,1723.75,304.13
ORD-01021,2024-04-30,2024-05-01,Standard Class,CUST-133,Customer 310,Consumer,East,New York,City4,Technology,Phones,Product Phones 21,4,0.05,2665.78,371.38
ORD-01022,2024-11-20,2024-11-22,Standard Class,CUST-263,Customer 149,Corporate,South,Texas,City3,Technology,Accessories,Product Accessories 22,1,0,99.1,12.54
ORD-01023,2024-01-28,2024-02-02,Standard Class,CUST-202,Customer 263,Home Office,West,California,City3,Technology,Accessories,Product Accessories 23,3,0,309.84,47.49
ORD-01024,2023-11-26,2023-12-03,Standard Class,CUST-225,Customer 314,Consumer,North,Illinois,City2,Technology,Machines,Product Machines 24,4,0,2217.84,366.15
